method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
pruning	0.95	46272	pruned.95pct.npz	256	604	3.1134930941023415	0.27980132450331124	0.2201871622042757	0.6894871931377718	1.387448132780083	3.1019142675483042	0.7185430463576159	False	tune	False						4778	2026
pruning	0.98	45040	pruned.98pct.npz	102	604	6.7546962474411805	0.2781456953642384	0.21761658031088082	0.7217251164745893	1.425399644760213	6.743117420887143	0.7201986754966888	False	tune	False						3546	2026
pruning	0.99	44632	pruned.99pct.npz	51	604	6.687988985047707	0.2781456953642384	0.21761658031088082	0.7217432986844083	1.4384298261337156	6.6764101584936695	0.7201986754966888	False	tune	False						3138	2026
quantization	16.0	54704	quantized.16bit.npz	5121	604	0.008347857327348296	0.9966887417218543	0.9958618232642267	0.005659817410428324	1.1735887686458029	-1.5610509399273734e-05	0.0	True	tune	True	1148.0	0.044227127812760725	0.9869337979094077	0.9813285364370032	0.010994093064226112	13210	2027
quantization	8.0	49583	quantized.8bit.npz	5121	604	0.04277227416075308	0.9834437086092715	0.9797486689108539	0.026419021620693893	1.2947986204949278	0.0344088063240055	0.013245033112582738	False	tune	False						8089	2027
quantization	6.0	48303	quantized.6bit.npz	5121	604	4.8568302886315875	0.28807947019867547	0.23289580945854946	0.698623555436434	1.3291099931681263	4.84846682079484	0.7086092715231789	False	tune	False						6809	2027
quantization	4.0	47023	quantized.4bit.npz	5121	604	6.1117054015606405	0.2781456953642384	0.21761658031088082	0.721643924266375	1.365289326499798	6.103341933723893	0.7185430463576159	False	tune	False						5529	2027
quantization	3.0	46383	quantized.3bit.npz	5121	604	6.1117054015606405	0.2781456953642384	0.21761658031088082	0.721643924266375	1.3841278054459607	6.103341933723893	0.7185430463576159	False	tune	False						4889	2027
quantization	2.0	45743	quantized.2bit.npz	5121	604	6.1117054015606405	0.2781456953642384	0.21761658031088082	0.721643924266375	1.4034934306888485	6.103341933723893	0.7185430463576159	False	tune	False						4249	2027
pruning	0.25	74952	pruned.25pct.npz	3841	604	0.009417162383014892	0.9966887417218543	0.9958770205329839	0.0080305722891502	0.856548190842139	0.0010536945462673222	0.0	True	tune	False						33458	2027
pruning	0.5	64704	pruned.50pct.npz	2560	604	0.021282237887977368	0.9950331125827815	0.9938490992596516	0.01541734291432073	0.9922106824925816	0.012918770051229798	0.0016556291390728006	True	tune	False						23210	2027
pruning	0.75	54464	pruned.75pct.npz	1280	604	0.4872339378793306	0.8096026490066225	0.7965478153640669	0.20969899859650984	1.1787602820211516	0.47887047004258304	0.1870860927152318	False	tune	False						12970	2027
pruning	0.9	48320	pruned.90pct.npz	512	604	2.2536752804497957	0.3890728476821192	0.3714986675690538	0.5805216668629964	1.3286423841059603	2.245311812613048	0.6076158940397351	False	tune	False						6826	2027
