method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
pruning	0.95	568708	pruned.95pct.npz	65562	604	0.2296128619835037	0.890728476821192	0.8769675197214918	0.13827664237581105	9.299387383332045	0.21582356355162405	0.10430463576158944	False	tune	False						527214	2026
pruning	0.98	254012	pruned.98pct.npz	26225	604	0.5417142209684468	0.6837748344370861	0.6785506301426354	0.339860173839697	20.82041793301104	0.5279249225365672	0.3112582781456954	False	tune	False						212518	2026
pruning	0.99	149108	pruned.99pct.npz	13112	604	0.5735622262856107	0.6605960264900662	0.6568628809440011	0.36313285888695	35.468492636209994	0.5597729278537311	0.3344370860927153	False	tune	False						107614	2026
svd	1.0	68444	svd.rank1.npz	5890	604	0.2618356980870045	0.9288079470198676	0.9166107463357467	0.06777673076986257	77.26953421775467	0.24804639965512487	0.06622516556291391	False	tune	False						26950	2026
svd	2.0	89952	svd.rank2.npz	11267	604	0.1299954927077925	0.9586092715231788	0.9501345706124201	0.037453330874708715	58.79397901102811	0.11620619427591286	0.036423841059602724	False	tune	False						48458	2026
svd	4.0	132968	svd.rank4.npz	22021	604	0.05585642720717462	0.9801324503311258	0.9753519689859212	0.016146409316383423	39.77375007520607	0.042067128775294976	0.01490066225165565	False	tune	False						91474	2026
svd	8.0	219000	svd.rank8.npz	43529	604	0.021914032768616053	0.9933774834437086	0.9916927985916267	0.004386170221291987	24.149022831050228	0.008124734336736411	0.0016556291390729116	True	tune	True	1148.0	0.02939549540260263	0.9895470383275261	0.9849598448820238	0.006764248203118828	177506	2026
svd	16.0	391064	svd.rank16.npz	86545	604	0.015569696241217469	0.9950331125827815	0.9937812097812098	0.004520677686876235	13.523709674119837	0.0017803978093378272	0.0	True	tune	False						349570	2026
svd	32.0	735192	svd.rank32.npz	172577	604	0.013168206459925615	0.9950331125827815	0.9937812097812098	0.005164861360620639	7.193543999390635	-0.0006210919719540266	0.0	True	tune	False						693698	2026
svd	64.0	1423448	svd.rank64.npz	344641	604	0.013663914371750185	0.9950331125827815	0.9937812097812098	0.004428561598484331	3.7153700029786827	-0.0001253840601294562	0.0	True	tune	False						1381954	2026
svd	128.0	2799960	svd.rank128.npz	688769	604	0.013928756222332535	0.9950331125827815	0.9937812097812098	0.005436365266686885	1.8888255546507808	0.0001394577904528932	0.0	True	tune	False						2758466	2026
svd	256.0	5552984	svd.rank256.npz	1377025	604	0.013789299378719803	0.9950331125827815	0.9937812097812098	0.004696730564906488	0.9523953247479193	9.468401618306643e-10	0.0	True	tune	False						5511490	2026
quantization	16.0	2666916	quantized.16bit.npz	1311233	604	0.019031051422536454	0.9950331125827815	0.9937812097812098	0.004687439030683008	1.983053084536596	-1.4353905935290262e-05	0.0	True	tune	False						2625422	2027
quantization	8.0	1355683	quantized.8bit.npz	1311233	604	0.4664997316448386	0.7980132450331126	0.7851110488988429	0.26416833986410176	3.9010860208470564	0.44745432631636683	0.19701986754966894	False	tune	False						1314189	2027
quantization	6.0	1027875	quantized.6bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	5.1452131825367875	0.6741017752314735	0.7168874172185431	False	tune	False						986381	2027
quantization	4.0	700067	quantized.4bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	7.554471214898003	0.6741017752314735	0.7168874172185431	False	tune	False						658573	2027
quantization	3.0	536163	quantized.3bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	9.863858565398955	0.6741017752314735	0.7168874172185431	False	tune	False						494669	2027
quantization	2.0	372259	quantized.2bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	14.20687209711518	0.6741017752314735	0.7168874172185431	False	tune	False						330765	2027
pruning	0.25	7911612	pruned.25pct.npz	983425	604	0.018683338088140943	0.9950331125827815	0.9937812097812098	0.0047050096780431655	0.6684650359496902	-0.00036206724033080104	0.0	True	tune	False						7870118	2027
pruning	0.5	5289140	pruned.50pct.npz	655616	604	0.018621212334067976	0.9917218543046358	0.9896736250021371	0.006893374377698625	0.9999047104066068	-0.000424192994403768	0.0033112582781457123	True	tune	False						5247646	2027
pruning	0.75	2666676	pruned.75pct.npz	327808	604	0.03848392287508655	0.9817880794701986	0.9776066330743693	0.016375277762741787	1.9832315586895446	0.019438517546614804	0.013245033112582849	False	tune	False						2625182	2027
pruning	0.9	1093196	pruned.90pct.npz	131123	604	0.14808197463987205	0.9254966887417219	0.9134921114863253	0.07620559061108513	4.837774744876491	0.1290365693114003	0.06953642384105962	False	tune	False						1051702	2027
pruning	0.95	568708	pruned.95pct.npz	65562	604	0.2922313552946522	0.847682119205298	0.8331952499309583	0.1629996304201951	9.299387383332045	0.27318594996618045	0.14735099337748347	False	tune	False						527214	2027
pruning	0.98	254012	pruned.98pct.npz	26225	604	0.5197956577790572	0.7235099337748344	0.7155563075448022	0.31965131054089657	20.82041793301104	0.5007502524505855	0.2715231788079471	False	tune	False						212518	2027
pruning	0.99	149108	pruned.99pct.npz	13112	604	0.5778865046620179	0.7235099337748344	0.7155563075448022	0.33156192925444694	35.468492636209994	0.5588410993335461	0.2715231788079471	False	tune	False						107614	2027
svd	1.0	68444	svd.rank1.npz	5890	604	0.39742224557197914	0.9122516556291391	0.8989695602089284	0.0844856343453268	77.26953421775467	0.3783768402435074	0.08278145695364236	False	tune	False						26950	2027
svd	2.0	89952	svd.rank2.npz	11267	604	0.36575506878944475	0.9188741721854304	0.9060703869090124	0.0751896664133225	58.79397901102811	0.346709663460973	0.07615894039735105	False	tune	False						48458	2027
svd	4.0	132968	svd.rank4.npz	22021	604	0.15370722567423364	0.9552980132450332	0.9464944831048161	0.04003420595681467	39.77375007520607	0.1346618203457619	0.039735099337748325	False	tune	False						91474	2027
svd	8.0	219000	svd.rank8.npz	43529	604	0.04035180546332515	0.9834437086092715	0.9794599741549344	0.009538547023379142	24.149022831050228	0.021306400134853402	0.011589403973509937	False	tune	False						177506	2027
svd	16.0	391064	svd.rank16.npz	86545	604	0.018967782790858593	0.9950331125827815	0.9937812097812098	0.005944679013426135	13.523709674119837	-7.762253761315133e-05	0.0	True	tune	True	1148.0	0.04364348901771122	0.9878048780487805	0.9825015242574688	0.008821382219734062	349570	2027
svd	32.0	735192	svd.rank32.npz	172577	604	0.01938637713343131	0.9950331125827815	0.9937812097812098	0.004215023958438286	7.193543999390635	0.0003409718049595667	0.0	True	tune	False						693698	2027
svd	64.0	1423448	svd.rank64.npz	344641	604	0.01891198781650181	0.9950331125827815	0.9937812097812098	0.004240575760376358	3.7153700029786827	-0.00013341751196993545	0.0	True	tune	False						1381954	2027
svd	128.0	2799960	svd.rank128.npz	688769	604	0.0190706797256671	0.9950331125827815	0.9937812097812098	0.0068574343468836285	1.8888255546507808	2.5274397195355208e-05	0.0	True	tune	False						2758466	2027
svd	256.0	5552984	svd.rank256.npz	1377025	604	0.019045401765517143	0.9950331125827815	0.9937812097812098	0.004688623875609624	0.9523953247479193	-3.5629546014936953e-09	0.0	True	tune	False						5511490	2027
quantization	16.0	2666916	quantized.16bit.npz	1311233	604	0.012488672759712204	0.9966887417218543	0.9958618232642267	0.0038761582551009007	1.983053084536596	4.189133297034797e-06	0.0	True	tune	False						2625422	2028
quantization	8.0	1355683	quantized.8bit.npz	1311233	604	2.759780750242856	0.2781456953642384	0.21761658031088082	0.7015147686721401	3.9010860208470564	2.747296266616441	0.7185430463576159	False	tune	False						1314189	2028
quantization	6.0	1027875	quantized.6bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	5.1452131825367875	0.6806626969335301	0.7185430463576159	False	tune	False						986381	2028
quantization	4.0	700067	quantized.4bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	7.554471214898003	0.6806626969335301	0.7185430463576159	False	tune	False						658573	2028
quantization	3.0	536163	quantized.3bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	9.863858565398955	0.6806626969335301	0.7185430463576159	False	tune	False						494669	2028
quantization	2.0	372259	quantized.2bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	14.20687209711518	0.6806626969335301	0.7185430463576159	False	tune	False						330765	2028
pruning	0.25	7911612	pruned.25pct.npz	983425	604	0.011629903038640492	0.9966887417218543	0.9958618232642267	0.0037500337832432756	0.6684650359496902	-0.0008545805877746768	0.0	True	tune	False						7870118	2028
pruning	0.5	5289140	pruned.50pct.npz	655616	604	0.01130579100882894	0.9966887417218543	0.9958618232642267	0.00288920682442463	0.9999047104066068	-0.001178692617586229	0.0	True	tune	False						5247646	2028
pruning	0.75	2666676	pruned.75pct.npz	327808	604	0.048479435909949437	0.9751655629139073	0.969778945999046	0.029689442448479295	1.9832315586895446	0.03599495228353427	0.021523178807946963	False	tune	False						2625182	2028
pruning	0.9	1093196	pruned.90pct.npz	131123	604	0.2675487657976068	0.8824503311258278	0.868456812277037	0.12826528222127595	4.837774744876491	0.2550642821711916	0.11423841059602646	False	tune	False						1051702	2028
pruning	0.95	568708	pruned.95pct.npz	65562	604	0.5635656514210275	0.7268211920529801	0.7186391008647486	0.280123212220169	9.299387383332045	0.5510811677946124	0.26986754966887416	False	tune	False						527214	2028
pruning	0.98	254012	pruned.98pct.npz	26225	604	1.6900517983924839	0.2781456953642384	0.21761658031088082	0.6285627155409691	20.82041793301104	1.6775673147660688	0.7185430463576159	False	tune	False						212518	2028
pruning	0.99	149108	pruned.99pct.npz	13112	604	1.9929154780173488	0.2781456953642384	0.21761658031088082	0.6654167102685271	35.468492636209994	1.9804309943909337	0.7185430463576159	False	tune	False						107614	2028
svd	1.0	68444	svd.rank1.npz	5890	604	0.4140641452441115	0.9056291390728477	0.8919366837104626	0.08867010845917585	77.26953421775467	0.4015796616176963	0.09105960264900659	False	tune	False						26950	2028
svd	2.0	89952	svd.rank2.npz	11267	604	0.2763132052478744	0.9337748344370861	0.9223131141637084	0.06118237509674821	58.79397901102811	0.2638287216214592	0.0629139072847682	False	tune	False						48458	2028
svd	4.0	132968	svd.rank4.npz	22021	604	0.07076434199213716	0.9751655629139073	0.969778945999046	0.030653146847573753	39.77375007520607	0.05827985836572199	0.021523178807946963	False	tune	False						91474	2028
svd	8.0	219000	svd.rank8.npz	43529	604	0.022033398388751176	0.9867549668874173	0.9835080821319353	0.007427793551113488	24.149022831050228	0.009548914762336007	0.009933774834437026	True	tune	True	1148.0	0.03893256373093659	0.9878048780487805	0.9825970200970201	0.010151674438767393	177506	2028
svd	16.0	391064	svd.rank16.npz	86545	604	0.014226531968558546	0.9966887417218543	0.9958618232642267	0.005275599136905106	13.523709674119837	0.0017420483421433774	0.0	True	tune	False						349570	2028
svd	32.0	735192	svd.rank32.npz	172577	604	0.012642837963266098	0.9966887417218543	0.9958618232642267	0.004071208242495727	7.193543999390635	0.00015835433685092853	0.0	True	tune	False						693698	2028
svd	64.0	1423448	svd.rank64.npz	344641	604	0.012767958505994968	0.9966887417218543	0.9958618232642267	0.0040813810350745	3.7153700029786827	0.00028347487957979846	0.0	True	tune	False						1381954	2028
svd	128.0	2799960	svd.rank128.npz	688769	604	0.012373462411727829	0.9966887417218543	0.9958618232642267	0.00393680925232771	1.8888255546507808	-0.00011102121468734016	0.0	True	tune	False						2758466	2028
svd	256.0	5552984	svd.rank256.npz	1377025	604	0.012484481902506544	0.9966887417218543	0.9958618232642267	0.003875129683302903	0.9523953247479193	-1.7239086252257563e-09	0.0	True	tune	False						5511490	2028
quantization	16.0	2666916	quantized.16bit.npz	1311233	604	0.020491038931190298	0.9950331125827815	0.9938041750012823	0.008922741262616548	1.983053084536596	-4.225937491296461e-07	0.0	True	tune	False						2625422	2029
quantization	8.0	1355683	quantized.8bit.npz	1311233	604	1.129604855145584	0.2781456953642384	0.21761658031088082	0.5258222235782221	3.9010860208470564	1.1091133936206445	0.7168874172185431	False	tune	False						1314189	2029
quantization	6.0	1027875	quantized.6bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	5.1452131825367875	0.6726557190350059	0.7168874172185431	False	tune	False						986381	2029
quantization	4.0	700067	quantized.4bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	7.554471214898003	0.6726557190350059	0.7168874172185431	False	tune	False						658573	2029
quantization	3.0	536163	quantized.3bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	9.863858565398955	0.6726557190350059	0.7168874172185431	False	tune	False						494669	2029
quantization	2.0	372259	quantized.2bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	14.20687209711518	0.6726557190350059	0.7168874172185431	False	tune	False						330765	2029
pruning	0.25	7911612	pruned.25pct.npz	983425	604	0.02065365679415633	0.9966887417218543	0.9958770205329839	0.008899176914966321	0.6684650359496902	0.00016219526921690264	-0.0016556291390728006	True	tune	False						7870118	2029
pruning	0.5	5289140	pruned.50pct.npz	655616	604	0.02431446666952014	0.9950331125827815	0.993826802985756	0.014006461171713388	0.9999047104066068	0.003823005144580713	0.0	True	tune	False						5247646	2029
pruning	0.75	2666676	pruned.75pct.npz	327808	604	0.05178530686405837	0.9784768211920529	0.9738084198658399	0.03162358387132133	1.9832315586895446	0.03129384533911894	0.01655629139072856	False	tune	False						2625182	2029
pruning	0.9	1093196	pruned.90pct.npz	131123	604	0.1796770912665395	0.9205298013245033	0.908373786407767	0.0997051197079866	4.837774744876491	0.15918562974160005	0.07450331125827814	False	tune	False						1051702	2029
pruning	0.95	568708	pruned.95pct.npz	65562	604	0.2859940614409399	0.8791390728476821	0.8650758435819836	0.16504551831945025	9.299387383332045	0.2655025999160005	0.11589403973509937	False	tune	False						527214	2029
pruning	0.98	254012	pruned.98pct.npz	26225	604	0.7366602629114053	0.49503311258278143	0.4931310479932425	0.4050251420489261	20.82041793301104	0.7161688013864659	0.5	False	tune	False						212518	2029
pruning	0.99	149108	pruned.99pct.npz	13112	604	0.9457270698235635	0.2913907284768212	0.23791330597613322	0.4914675223578915	35.468492636209994	0.9252356082986241	0.7036423841059603	False	tune	False						107614	2029
svd	1.0	68444	svd.rank1.npz	5890	604	0.3712724963564425	0.8956953642384106	0.8821156723700474	0.10329405106234249	77.26953421775467	0.3507810348315031	0.09933774834437092	False	tune	False						26950	2029
svd	2.0	89952	svd.rank2.npz	11267	604	0.17860527145196048	0.9370860927152318	0.926416086382231	0.061093645140186684	58.79397901102811	0.15811380992702107	0.05794701986754969	False	tune	False						48458	2029
svd	4.0	132968	svd.rank4.npz	22021	604	0.12982236106955114	0.945364238410596	0.9352215668112904	0.05002439550076696	39.77375007520607	0.10933089954461171	0.04966887417218546	False	tune	False						91474	2029
svd	8.0	219000	svd.rank8.npz	43529	604	0.02331096954803433	0.9933774834437086	0.9917236465284534	0.009955093897739315	24.149022831050228	0.002819508023094903	0.0016556291390729116	True	tune	True	1148.0	0.040775707498174545	0.9834494773519163	0.9762846795246063	0.007552968632989368	177506	2029
svd	16.0	391064	svd.rank16.npz	86545	604	0.020305784778572176	0.9966887417218543	0.9958770205329839	0.008775447070535458	13.523709674119837	-0.00018567674636725193	-0.0016556291390728006	True	tune	False						349570	2029
